id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,food_pairing,character,grape_variety
109829,Château Haut Cadet 2018,"Denna fastighet, belägen vid Bragard, i norra Saint-Emilion appellation, har köpts av de Gaye-familjen 2015.Med Château Grand Corbin Manuel (som ligger 200 meter från Haut Cadet) representerar den 26 hektar under produktion till appellationen Grand Cru av Saint Emilion. 55% av dessa 26 hektar är avsedda att producera Château Haut Cadet.82 % Merlot / 13 % Cabernet Franc / 5 % Cabernet SauvignonFärg: Mörkröd djupfärg.Bukett: Färska med blommiga och svarta fruktnoter.Smak: Intensiv, med tanniner som ger en extra touch av komplexitet.Finish: Bra längd och uthållighet",19.95,,,Chateau Haut Cadet,,,,/owif/images/109829?size=300,,,Lamm Grillat Kalv,Medelfylligt,
109679,Château La Claymore,"Under 1000- och 1100-talen präglades Bordeaux-regionen av den engelska närvaron. Samtidigt dekorerade benediktinermunkarna den monolitiska kyrkan Saint-Emilion med skulpturer influerade av den keltiska kulturen. Denna blandning av anglosaxisk och keltisk kultur har därmed format vår region. Detta återspeglas också i det historiska namnet på vår egendom: LA CLAYMORE. Engelska klingande, detta namn skrevs Claimh Mhor i Celtic, och hänvisade till det breda svärdet av skotska Highlanders, keltiska krigare som ska ha kämpat med den engelska armén i Aquitaine.Alla våra tomter odlas med respekt för miljön och full uttryck för terroiren: Låg behandlingsnivå, frekvent jordbearbetning, systematisk bladförtunning, grön skörd, sortering.Vinrankor på de soliga sluttningarna av gården, med jord rik på järn, lera och sandstenar, producerar CHATEAU LA CLAYMORETre sorter: MERLOT mestadels, CABERNET FRANC och MALBECDjup lila färg med silverglänsande. Komplex",13.95,,,J.M. Cazes Sélection,,,,/owif/images/109679?size=300,,,Nöt Lamm Ostar,Medelfylligt,Merlot Malbec Cabernet Franc
109662,Château La Picherie Les Marronniers,"Rodolphe Guimberteau bought Château La Picherie  in 1997, made up of six hectares.The Château is located in the Montagne-Saint-Émilion protected designation area, on the right bank of the Gironde estuary.Their neighbours include prestigious designations such as Pomerol and Saint-Émilion.Rodolphe is  a nurseryman, meaning he creates vine stocks and sell them to other winegrowers so that they can use them in their vineyard, that’s the very first step.It’s also the story of an union between Merlot, the grape variety, and the terroir, the clay-limestone soil of the Saint-Émilion region, which gives the Château La Picherie  a very intense,deeply coloured wine with a silky, elegant, almost creamy taste.This  is a wine for a pleasant moment with friends.",21.5,,,Château La Picherie,,,,/owif/images/109662?size=300,,,Nöt Vilt Ostar,Fylligt,Merlot Cabernet Franc
219597,Château Lange Réglat Sauternes,,18.95,,,Bernard Réglat ,,,,/owif/images/219597?size=300,,,"Ostar Efterrätter Aperitif, sällskapsvin",Söt,
109656,Château Le Coteau Cuvée Graveline,"Château Le Coteau is a family-owned property. Today, Eric Léglise  grows 12 hectares of vines, the terroir being a Graves terroir, that of the Grands Crus.Weed killer has never been used, so the native flora grows naturally and bees and other pollinating insects come to gather pollen and nectar in his vines. He removes the grass by ploughing when necessary, when it becomes too invasive. These are natural methods which encourage biodiversity.The Château Le Coteau wine is an extremely elegant, fine wine which is very aromatic with plenty of fruit and can be kept for many years.Eric is passionate about his wine and always has been down the generations from father to son. He respects the environment and   tries  to work in the best possible way to achieve the best possible wine.",39.5,,,Château Le Coteau,,,,/owif/images/109656?size=300,,,Nöt Vilt Ostar,Medelfylligt,Cabernet Sauvignon Merlot Petit Verdot Cabernet Franc
109340,Chateau Marsac Seguineau,"Vingården Marsac Séguineau ligger i mitten av Marsac-platån, känd sedan 1700-talet för sin kvalitet, och omgiven av prestigefyllda appellation Margaux grannar.Den heraldiska kronan som pryder etiketten är greven av Robien som 1886 förenade cru-borgaren med andra lokala Marsac-tomter. Namnet Château Marsac Séguineau fick sitt första omnämnande i Crus Bourgeoissupérieur klassificering i den 6: E upplagan av Ferret 1893.Ruby i utseende med intensiva, lysande nyanser, avslöjar den mycket uttrycksfulla buketten hallon och mocka aromer när den virvlade. Vinet är gott och elegant med smakrika tanniner. En fräsch finish med lakrits och kakaomoner.",23.95,,,J.M. Cazes Sélection,,,,/owif/images/109340?size=300,,,Nöt Lamm Kalv,Fylligt,Cabernet Sauvignon Merlot Petit Verdot
110146,Château Siaurac,,39.95,,,Château Siaurac,,,,/Dist/Img/new-taxfree/usercategory-7.png,,,,,
119918,Château Vitallis Saint-Véran,,31.95,,,Château Vitallis,,,,/owif/images/119918?size=300,,,,,Chardonnay
109104,Chill Out Cabernet Sauvignon Australia BIB,"Chill Out Cabernet är din torgne vän till kötträtter och ost.  Passar även bra till en stek, kyckling och krämig pasta. Vinet har en medelstor, mycket bärig doft med inslag av björnbär svarta vinbär, körsbär, mjölkchoklad och lakrits. Medelfyllig, kryddig och generös smak med toner av mörka frukter, fat, viol och lakrits.",19.5,,,Chill Out,,,,/owif/images/109104?size=300,,,Nöt Grillat Buffé,Medelfylligt,Cabernet Sauvignon
118372,Chill Out Chardonnay Australia BIB,"Chill Out Chardonnay har en stor, frisk, fruktig doft med inslag av melon och delikata kryddor. Vad mer kan du önska dej av ett vitt vin? Du får naturligtvis också ett medelfylligt, smakrikt och mjukt cremigt vin. Du kan avnjuta vinet med nästan vilken rätt som hellst - eller utan om du vill -viktigaste är att chilla med dina vänner!",19.5,,,Chill Out,,,,/owif/images/118372?size=300,,,"Sallader, vegetariskt Fiskrätter Buffé",Torrt,Chardonnay
