id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,food_pairing,character,grape_variety
108735,Ogier Clos de l'Oratoire des Papes,"L'Oratoire des Papes skapades 1880 och är ett ikoniskt vin från appellationen Châteauneuf du Pape. Historien började när Edouard Amouroux genom sitt äktenskap fick den berömda tomten med syrahvinstockar, belägen på den plats som kallas Tresquoy. Egendomen har fått sitt namn efter det oratorium som är tillägnat Sankt Markus och som ligger i utkanten av tomten. Denna terroirs stora kvalitet bidrog till att detta vin snabbt blev en ledande produkt i appellationen.",38.95,,,Ogier,,,,/owif/images/108735?size=300,,,Lamm Vilt Ostar,Fylligt,Syrah Mourverde Grenache Noir Cinsault
119904,Ogier Côtes-du-Rhône Artésis Blanc,"Vår Côtes-du-Rhône Artésis är ett löfte om ett generöst, lättillgängligt vin, utan att ge efter för den lätthet som regionen tillåter. Vi arbetar från vinstocken till källaren och strävar ständigt efter en balans mellan läckerhet och renhet i frukten.Jordmån : Terrasser med småsten, sluttningar med lera och kalksten, terrasser med sand, grus och lössDruvsorter : Grenache Blanc, Clairette, Viognier, BourboulencLagring : Betongfat på fin jästfällning i 4 månaderServeringsråd : 8 - 12°CLagringspotential : 2 till 4 årProvsmakningsanteckningar : Utseende : Ljus, kristallklar, mycket ren med diskreta gröna inslag.Doft : Exotisk frukt, citrus, aprikos och vit persika med inslag av kryddor och vanilj.Munhåleupplevelse : Direkt och förförisk, en fruktig njutning. ",11.5,,,Ogier,,,,/owif/images/119904?size=300,,,"Skaldjur Kyckling, kalkon Ostar",,Viognier Grenache Blanc Bourboulenc Clairette
110155,Ogier Crozes-Hermitage Orientale,"Dessa östvända vinstockar fångar upp den stigande solens strålar som kärleksfullt smeker druvorna och ger anmärkningsvärd finess till Orientale. Detta 100% syrah avslöjar mjuka och subtila peppriga toner understödda av röda frukter och massor av friskhet.Tanninerna är närvarande men välintegrerade.Organoleptisk profil : dess djupa nyans och purpurblå skimmer är en indikation på den aromatiskaprofil av små röda frukter, kryddor och lakrits. Granne till den ikoniska Hermitage, dess identitet är en av djup och elegans",16.95,,,Ogier,,,,/owif/images/110155?size=300,,,Lamm Vilt Biff,Fylligt,Syrah
110228,Ogier Lirac Petit Prince,"Vår Lirac Petit Prince ligger på Rhônes högra strand och är trogen potentialen i sin terroir. Dess rikedom balanseras av en strävan efter friskhet som uppnås genom noggrant kontrollerad pressning. Dess silkeslena tanninstruktur visar upp den unika karaktären hos de sandiga märgeljordarna.Typ av jord: Sandiga jordar från miocen, belägna i den östra delen av appellationen, nära Rhônefloden.Druvsorter : Grenache Noir, Syrah, CinsaultLagring : 100% betongtankar i 6 månader.Service råd : 16 - 18 °CLagringspotential : 2 till 4 årProvsmakningsanteckningar : Utseende : Djup körsbärsrödDoft : Korg av svarta frukter och lakritsMunhåleupplevelse : Rika viner med silkeslena, delikata tanniner",13.5,,,Ogier,,,,/owif/images/110228?size=300,,,Vilt Buffé Risotto,,Syrah Grenache Noir Cinsault
119622,Onkel Doktor,,10.95,,,Weingut Fogt,,,,/owif/images/119622?size=300,,,"Sallader, vegetariskt Asiatiskt Buffé",Halvtorrt,Riesling Scheurebe
110180,Ornellaia Bolgheri Superiore 2017,"Detta kultvin föddes 1985.Andelen av de olika druvorna varierar för varje årgång men är ca Cabernet Sauvignon 40% Merlot 37% Cabernet Franc 16% Petit Verdot 7%.Lagras därefter druvseparat i 18 månader på franska ekfat (60-70% ny ek, 30-40% använd ek).Druvorna blandas efter 12 månader och får sedan avsluta i sex månader tillsammans på ekfat.Ett vin med stor lagringspotential, välbalanserat och karaktäristiskt med kraftiga men ändå eleganta och delikata tanniner. Mörk rubinröd färg med doft av mogna mörka bär och medelhavsörter. Kraftfullt och strukturerat vin med mogen frukt och sammetslena tanniner i smaken som ger en utsökt finess och ett överraskande friskt och mjukt avslut.",499.0,,,Ornellaia,,,,/owif/images/110180?size=300,,,Nöt Lamm Grillat,Fylligt,Cabernet Sauvignon Merlot Malbec Petit Verdot Cabernet Franc
119441,Pardon My French Rosé Pouch,"Shiny pink with pink petal reflections. Luminous.Nose : Develops notes of mouth-watering strawberries andraspberries while also releasing light tones of exoticfruits.Palate : A well-balanced structure, full and fresh, with a lingeringaromatic finish.Recommendations : Perfect as an aperitif, to drink with salads and grilled food,pleasant throughout the meal.Serving condition in C° : 8°CAlcohol content : 12.5Cellar potential : Should be drunk young to enjoy the fruit taste, but willlose nothing of its potential as time goes by.",12.95,,,Pardon My French,,,,/owif/images/119441?size=300,,,"Nöt Grillat Fiskrätter Aperitif, sällskapsvin",Torrt,Carignane Grenache Blanc Cinsault
109975,"Pardon My French, Cabernet Sauvignon Pouch","Alcoholic fermentation in stainless steel vats withtemperature control. Long maceration of 3 to 4 weekswith 2 daily pumping over. Malolactic fermentation.Soil : Clay-limestone soilsCountry origin : FRANCESensory characteristic :Colour : Light shiny rubyNose : Expressive, strawberry, green bel pepperPalate : Medium full bodied",12.95,,,Pardon My French,,,,/owif/images/109975?size=300,,,Pasta Grillat Ostar,Torrt,Cabernet Sauvignon
118182,Paso das Bruxas Albariño,"gyllene gul i färg. En trevlig fruktighet i doften, med toner av grön äppel, lime, mogen citrus och en blommig arom. Smaken är mycket frisk och fräsch, elegant och smakrik. ",10.95,,,Miguel Torres Spain Winery,,,,/owif/images/118182?size=300,,,,,Albarino
117907,Penfolds Koonunga Hill Autumn Riesling,"Citrus (muddlad lime/Mojito) präglas av delikat färsk ingefära och en härlig, typisk Eden Valley-liknande mineralsyrastruktur. Ett vin med underbar lång smak, njutbart nu och under de kommande två åren.",19.95,,,Penfolds,,,,/owif/images/117907?size=300,,,Skaldjur Asiatiskt Fiskrätter,,Riesling
119122,Pfaff Black Tie,"Torr, hög syra, mogen citruston, inslag av gula plommon, päronkaraktär, svag blommighet, kryddig ",11.5,,,Pfaff,,,,/owif/images/119122?size=300,,,"Kyckling, kalkon Asiatiskt Fiskrätter",Torrt,Riesling Pinot Gris
119586,Pierre Chavin Sauvignon Blanc tetra,"Torr, hög syra, vinbärig, persikakaraktär, svag blommighet, fräsch. Friskt och fruktigt. ",9.15,,,Pierre Chavin,,,,/owif/images/119586?size=300,,,"Sallader, vegetariskt Kyckling, kalkon Aperitif, sällskapsvin",Torrt,Sauvignon Blanc Colombard
117724,Pouilly Fume La Forge,,19.95,,,Joseph Mellot,,,,/owif/images/117724?size=300,,,Skaldjur Fiskrätter Risotto,Torrt,Sauvignon Blanc
109856,Rafinelli Barbaresco,,23.5,,,Rafinelli,,,,/owif/images/109856?size=300,,,Nöt Vilt Ostar,Medelfylligt,
109457,Rafinelli Barbera d'Asti,,11.95,,,Rafinelli,,,,/owif/images/109457?size=300,,,"Nöt Pasta Aperitif, sällskapsvin",Fylligt,Barbera
109857,Rafinelli Barolo,,28.5,,,Rafinelli,,,,/owif/images/109857?size=300,,,Nöt Lamm Vilt,Fylligt,Nebbiolo
