id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,food_pairing,character,grape_variety
107725,Cono Sur Bicicleta Cabernet Sauvignon,"Fruktig smak med inslag av svarta vinbär, färska örter, choklad och plommon. Mjuka tanniner med en lång eftersmak. ",8.95,,,Cono Sur,,,,/owif/images/107725?size=300,,,Nöt Vilt Ostar,Medelfylligt,Cabernet Sauvignon
117449,Cono Sur Bicicleta Riesling,"Torr, hög syra, citruskaraktär, nektarinkaraktär, inslag av gröna äpplen, lätt örtighet, mineralig.FRISKT & FRUKTIGT",8.2,,,Cono Sur,,,,/owif/images/117449?size=300,,,"Kyckling, kalkon Fiskrätter Aperitif, sällskapsvin",Torrt,Riesling
118353,Cono Sur Bicicleta Riesling BIB,"Torr, hög syra, citruskaraktär, nektarinkaraktär, inslag av gröna äpplen, lätt örtighet, mineralig.FRISKT & FRUKTIGT",23.5,,,Cono Sur,,,,/owif/images/118353?size=300,,,"Skaldjur Fiskrätter Aperitif, sällskapsvin",Torrt,
117448,Cono Sur Bicicleta Sauvignon Blanc,"Elegant, uttrycksfull och klädd i en grön-gul nyans imponerar denna Sauvignon Blanc med sina citrusdoftande toner av grapefrukt och grönt äpple, som smälter samman med örtiga inslag. I munnen utmärker sig särskilt dess fräschör och balans, tillsammans med citrustoner och ett behagligt mineraliskt avslut.",8.5,,,Cono Sur,,,,/owif/images/117448?size=300,,,"Skaldjur Fiskrätter Aperitif, sällskapsvin",Torrt,Sauvignon Blanc
107993,Cono Sur Ocio,"Fyllig, medelhöga tanniner, skogsbärig, tranbärig, mörka plommontoner, lätt lakritston, ekig",43.95,,,Cono Sur,,,,/owif/images/107993?size=300,,,Nöt Lamm Vilt,Fylligt,Pinot Noir
109879,Cono Sur Ocio Magnum,"Fyllig, medelhöga tanniner, boysenbärig, tranbärig, mogna plommontoner, toner av kakaobönor, svag violton, ekig, generös. Mystigt och syltigt. ",109.0,,,Cono Sur,,,,/owif/images/109879?size=300,,,Nöt Vilt Grillat Biff,Fylligt,Pinot Noir
118231,Cono Sur Riesling Gewurztraminer Viognier,"Torr, hög syra, klementinkaraktär, mangokaraktär, blommig, kryddig",8.2,,,Cono Sur,,,,/owif/images/118231?size=300,,,Skaldjur Asiatiskt Fiskrätter,Halvtorrt,Riesling Gewurtstraminer Viognier
109235,Cono Sur Single Vineyard Pinot Noir,"Medelfyllig, medelhöga tanniner, skogsbärig, körsbärig, inslag av svartpeppar, svag ekighet, lätt violton. Bärigt och friskt. ",11.95,,,Cono Sur,,,,/owif/images/109235?size=300,,,"Kyckling, kalkon Vilt Grillat Gris",Medelfylligt,Pinot Noir
119142,Cono Sur Single Vineyard Riesling,"Friskt och fruktigt. Torr, hög syra, limekaraktär, persikakaraktär, mogna pärontoner, svag örtighet, något mineralig",11.95,,,Cono Sur,,,,/owif/images/119142?size=300,,,"Fiskrätter Aperitif, sällskapsvin Sushi",Torrt,Riesling
109983,Costers de L'Anima Pinot Noir,"With the perfect climate and soils we elaborate this extraordinary 100% Pinot Noir from Catalunya, Spain. This lovely Pinot Noir, probably the best in Spain, were fermented in stainless steal tanks of 1000 liters.  Aged in 500 liters new French oak barrels for 9 months. On the palate it is soft and silky, with a firm acidity with intense red fruit flavors, subtle tannins and a long and elegant finish.",39.95,,,Josep Ferrer,,,,/owif/images/109983?size=300,,,Nöt Lamm Pasta Vilt Grillat Biff Gris Kalv Vegetariskt,Medelfylligt,Pinot Noir
119917,Côté Aix Rosé,"Ljus och kristallklar roséfärg med intensiva, aromatiska inslag av citrus och mineralitet – typiskt för roséviner från Aix‑regionen. Smaken är livlig, mineraldriven och avslutas elegant med frisk citruskryddighet och en lätt sälta. Ekologiskt odlad på en blandning av Syrah, Grenache och Cinsault från kalkrik lera, vilket ger en komplex men lätt kropp. Perfekt som aperitif eller till grillad fisk, skaldjur, ljust kött, medelhavsrätter och fräscha sallader",12.95,,,Giambagli,,,,/owif/images/119917?size=300,,,,Torrt,Syrah Mourverde Cinsault
127141,Cote des Roses Rosé,"Torr, medelhög syra, hallonkaraktär, toner av jordgubbskaka, lätta rödvinbärstoner",11.95,,,Gerard Bertrand,,,,/owif/images/127141?size=300,,,"Sallader, vegetariskt Kyckling, kalkon Aperitif, sällskapsvin",Torrt,Syrah Grenache Blanc Cinsault
110230,"Côtes du Rhône Est-Quest, André Brunel","A wine with a radiant character and remarkable intensity. The blend of Grenache and Cinsault elegantly expresses crisp red fruit aromas, while Syrah adds structure and depth to the finish. It has a lively and subtle textured and offers a harmonious balance between freshness and body.  A red wine that is both indulgent and refined, perfect for sharing moments of enjoyment with ease.",11.5,,,André Brunel,,,,/owif/images/110230?size=300,,,Lamm Grillat Ostar,Torrt,Syrah Grenache Noir Cinsault
109973,Coto Mayor Crianza,"Intensiv körsbärsfärg; i doften uppvisar den mogen frukt i sylt med en bakgrund av röda frukter, med en ton av lagring, rostad fat och vanilj. På gommen är den smakrik, fyllig, balanserad, med en god eftersmak.",9.5,,,El Coto,,,,/owif/images/109973?size=300,,,Grillat Biff Gris,Medelfylligt,Tempranillo
109974,Coto Mayor Gran Reserva,"Fyllig, höga tanniner, mogen tranbärighet, surkörsbärskaraktär, blåbärig, toner av kakaobönor, svag läderton, lätt vaniljton",21.95,,,El Coto,,,,/owif/images/109974?size=300,,,Lamm Vilt Biff,Fylligt,
110231,"Cuvée Sabrine, André Brunel","With its deep purple colour, this wine reveals an expressive bouquet of red fruits, violet, and pepper. It is fresh, complex, and refined - an ideal companion to everyday meals. The tannins are smooth and well-balanced, leading to an elegant finish that unfolds with layered aromas.Combining strength with finesse, it pairs beautifully with steaks and remains easy to enjoy on any occasion.",18.95,,,André Brunel,,,,/owif/images/110231?size=300,,,Nöt Biff Kalv,Torrt,Syrah Mourverde Grenache Noir
119658,Deep Roots Finest Selection Riesling,"Torr, mycket hög syra, citruskaraktär, aprikosig, vitvinbärig.Friskt och fruktigt.",12.5,,,Deep Roots,,,,/owif/images/119658?size=300,,,"Sallader, vegetariskt Skaldjur Fiskrätter",Torrt,Riesling
118596,Deep Roots Riesling,"Torr, mycket hög syra, citronkaraktär, inslag av gula plommon, lätt ton av gröna päron, svag mineralton.NYANSERAT & STRUKTURERAT",9.95,,,Deep Roots,,,,/owif/images/118596?size=300,,,"Sallader, vegetariskt Skaldjur Kyckling, kalkon Asiatiskt Ostar Fiskrätter Gris Aperitif, sällskapsvin Sushi Vegetariskt",Torrt,Riesling
110237,"Descombe Brouilly ""Piemont""",,19.95,,,Famille Descombe,,,,/owif/images/110237?size=300,,,"Nöt Kyckling, kalkon Vilt Grillat Ostar Biff Gris Kalv Vegetariskt Svamp",Medelfylligt,Gamay
119612,Devil's Rock Riesling BIB,"The grapes are harvested under perfect conditions invineyards in the wonderful german wine region Pfalz.Soft golden-yellow.Modern interpretation of the classic Rieslinggrape. Fresh,fruity with hints of lemon and grapefruit.Full of ripe fruits with soft acidity and long finish.",18.95,,,Devil's Rock,,,,/owif/images/119612?size=300,,,"Sallader, vegetariskt Skaldjur Sushi",Halvtorr,
110059,Diablo Dark Red,"Fyllig, medelhöga tanniner, toner av mörka körsbär, plommonkaraktär, hallonkaraktär, ton av svartvinbärssylt, mockakaraktär, svag vaniljton",9.95,,,Concha y Toro,,,,/owif/images/110059?size=300,,,"Kyckling, kalkon Gris Aperitif, sällskapsvin",Fylligt,Malbec Syrah
119618,Diablo Golden Chardonnay,"Halvtorr, medelhög syra, persikakaraktär, mogen karaktär av honungsmelon, lätt blommighet",9.95,,,Concha y Toro,,,,/owif/images/119618?size=300,,,"Kyckling, kalkon Pasta Fiskrätter",Halvtorrt,Chardonnay Riesling
119115,Diamanti Grillo Feudo Principi di Butera,"Ett härligt friskt och fruktigt vin, i doften har vi inslag av citrus, ananas och mentol. Komplex smak med både tropisk frukt, citrusfrukter och mineralitet. Eftersmaken är lång och frisk. Perfekt med pastarätter tillagade med grönsaker och lätta rätter av kokt eller rå fisk. Passar även mycket bra till getost. ",9.95,,,Feudo Principi di Butera,,,,/owif/images/119115?size=300,,,"Sallader, vegetariskt Pasta Fiskrätter",Torrt,
109819,"Dolcetto Monferrato, Poggio Le Coste","Dolcetto är en mycket speciell druva från Piemonte, massor av frukt och bär, det är ett torrt vin, men du kan hitta de naturliga sötman från frukt och bär i både doft och smak.Det är ett mjukt välbalanserat vin med en lång eftersmak med inslag av bär, mandel och lakrits.Detta vin kan kombineras till mycket, t ex pasta, pizza, kallskuret, fläsk och grytor. ",8.95,,,Poggio Le Coste,,,,/owif/images/109819?size=300,,,"Sallader, vegetariskt Kyckling, kalkon Pasta",Medelfylligt,
119797,Domaine Baudouin Petit Chablis,,23.5,,,Domaine Baudouin,,,,/owif/images/119797?size=300,,,"Kyckling, kalkon Asiatiskt Ostar",Lätt,Chardonnay
110165,Domaine Coulange Côtes du Rhône BIB,,21.95,,,Domaine Coulange,,,,/owif/images/110165?size=300,,,,,
119773,Domaine de Gagnebert Cabernet d'Anjou,,11.5,,,Domaine de Gagnebert,,,,/owif/images/119773?size=300,,,"Sallader, vegetariskt Skaldjur Biff",,Cabernet Sauvignon Cabernet Franc
