id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,food_pairing,character,grape_variety
119804,Tommasi Masseria Surani Negroamaro Rosé,"Elegant och raffinerad rosé, den har florala toner av ros och geranium samt fruktiga noter av rosa grapefrukt och granatäpple. På paletten är den livlig med en behaglig friskhet, god aromatisk uthållighet, följt av en delikat sälta.",14.95,,,Tommasi Viticoltori,,,,/owif/images/119804?size=300,,,,,
110189,Tommasi Masseria Surani Primitivo di Manduria,"Intensiv, rik rubinröd färg, med klassiska toner av röda frukter, svart körsbär och plommon, följt av delikata kryddiga noter av lakrits, tobak och amaretto. Smaken är fyllig, generös med eleganta tanniner och en livlig avslutning, stödd av en behaglig friskhet.",18.95,,,Tommasi Viticoltori,,,,/owif/images/110189?size=300,,,,,
118592,Tommasi Pinot Grigio BIB,"Torr, hög syra, citruskaraktär, mogna pärontoner, äpplig, kryddig",20.95,,,Tommasi Viticoltori,,,,/owif/images/118592?size=300,,,"Sallader, vegetariskt Skaldjur Kyckling, kalkon Fiskrätter Aperitif, sällskapsvin",Torrt,Pinot Grigio
108754,Tommasi Rafael Valpolicella Classico,"Ljus rubinröd färg, en raffinerade och intensiv doft med både blommiga och fruktiga toner. Vinet är graciöst och silkeslen och är smakrikt, smidigt med en ihållande fruktighet. ",13.5,,,Tommasi Viticoltori,,,,/owif/images/108754?size=300,,,Nöt Pasta Vilt,Fylligt,Corvina Rondinella Molinara
109489,Tommasi Ripasso Classico Superiore D.O.C. I Pianeti,"Klar rubinröd. Fruktig och kryddig smak med mörka frukter, tobak och kanel, kombinerat med mineralitet, och en lång eftersmak.",18.95,,,Tommasi Viticoltori,,,,/owif/images/109489?size=300,,,Nöt Pasta Gris,Medelfylligt,Corvina
109490,Tommasi Valpolicella Classico Superiore D.O.C.,"Medelfyllig, medelhöga tanniner, rödvinbärskaraktär, körsbärig, lätta hallontoner, svag lakritston",13.95,,,Tommasi Viticoltori,,,,/owif/images/109490?size=300,,,"Kyckling, kalkon Pasta Buffé",Medelfylligt,Corvina Rondinella
110174,Torbreck Old Vines,"Viinilehti Årets rödvin Finalist 2022 & 2023 En mycket raffinerad blandning av Rhône-stil från en klassisk Barossa-producent. Torbreck vingård grundades 1994 och på kort tid valdes det ut till listan över världens 100 bästa vinproducenter. Hörnstenen i Torbreck vingårds ideologi är de traditionella sorterna i regionen och deras respekt genom noggrant vingårdsarbete och minimala ingrepp.Den finske vinmakaren Ian Hongell har familjeanknytning till Karleby Finland. Med Ians kärlek till Rhônedalens viner från Frankrike är Torbrecks mycket hyllade viner också baserade på klassiska Rhône-varianter. Druvorna är handplockade från vinstockarna, varav 21 hektar är upp till 80-165 år gamla. Dynamisk blandning: 2021 årgång: 53% Mourvèdre 43% Shiraz & 4% GrenacheViktigaste internationella referenser: 91 p James Suckling",17.5,,,Torbreck,,,,/owif/images/110174?size=300,,,"Nöt Kyckling, kalkon Pasta Vilt Grillat Ostar Biff Gris Buffé Vegetariskt Svamp",Fylligt,Syrah Mourverde Grenache Noir
109405,Torres Altos Ibericos Reserva,"Relativt mörk färg. Doften är medelstor, mörkt fruktig och ren med en mjukt vaniljig och mycket väl integrerad fatkryddig nyans. Smaken är medelfyllig, ung och generös med en god, mogen och lite sötkryddig frukt, frisk syra, en liten mineralton, fint balanserad strävhet och en mjuk vaniljnyans i en klassisk men ändå välgjord, modern stil. Eftersmaken är medellång och friskt fruktig",13.5,,,Miguel Torres Spain Winery,,,,/owif/images/109405?size=300,,,Lamm Vilt Biff,Fylligt,Tempranillo
107715,Torres Celeste,"Fyllig, medelhöga tanniner, kryddig, bärig, ekig. Nyanserat och utvecklat. ",16.5,,,Miguel Torres Spain Winery,,,,/owif/images/107715?size=300,,,Nöt Lamm Grillat,Fylligt,
108020,Torres Celeste Magnum,"Fyllig, medelhöga tanniner, kryddig, bärig, ekig. Nyanserat och utvecklat.",32.5,,,Miguel Torres Spain Winery,,,,/owif/images/108020?size=300,,,Nöt Vilt Grillat,Fylligt,
