id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,food_pairing,character,grape_variety
110152,Fontanafredda Barbera Nebbiolo BIB,"Fyllig, medelhöga tanniner, kryddig, tranbärig, toner av mörka körsbär. Mustigt och syltigt.",29.95,,,Fontanafredda,,,,/owif/images/110152?size=300,,,Lamm Biff Gris,Fylligt,Barbera Nebbiolo
109729,Fontanafredda Barolo Classico DOC,"Fylligt, med inslag av vanilj och krydda. Smaken är torr, men sammtidigt mjuk och behaglig, välbalanserad med en behaglig och lång eftersmak. ",32.95,,,Fontanafredda,,,,/owif/images/109729?size=300,,,Lamm Vilt Grillat,Kraftigt,Nebbiolo
109986,Freixenet Cabernet Sauvignon,"Cabernet Sauvignon is the world’s most popular red wine grape, so much appreciated for its fruit concentration and its different styles of wine. Freixenet Cabernet Sauvignon is a perfect example of that grape when it’s young showing an elegant fruit concentration with a long finish. Clean, bright appearance with appealing red cherry color. Ripe fruit aromas of red cherries, plum, cocoa and vanilla. On the mouth, one can taste some spiciness and toastiness but with a velvety base, all well balanced with a long finish.This Cabernet Sauvignon scored secondly in a big tasting competition among Cabernet Sauvignon in this price category at monopoly in Finland, Alko. ",7.95,,,Freixenet SA,,,,/owif/images/109986?size=300,,,Nöt Lamm Pasta Vilt Grillat Kalv Buffé,Fylligt,Cabernet Sauvignon
109912,Freixenet Chianti D.O.C.G.,"This Chianti is a superb red wine made from traditional grapes (mainly Sangiovese) grown in the namesake region, nestled in the sunny vineyards of Tuscany. Its delicate bou- quet has tones of wild berries, complemented by lightly spiced notes and violet aromas, crowned with a delicate finish. This wine matches perfectly with pasta dishes, pizza or meat platters.",9.95,,,Freixenet SA,,,,/owif/images/109912?size=300,,,"Nöt Lamm Kyckling, kalkon Pasta Grillat Ostar Aperitif, sällskapsvin Vegetariskt",Medelfylligt,Sangiovese
119507,Freixenet Italian Rosé I.G.T. Veneto,This charming Rosé is made from the typical grape varieties of Veneto. It’s a refreshing wine with a subtle perfume and deli- cate palate of red cherries and strawberries. Enjoy it chilled as an aperitivo or serve with light dishes or spicy cuisine,7.95,,,Freixenet SA,,,,/owif/images/119507?size=300,,,"Kyckling, kalkon Pasta Aperitif, sällskapsvin",Torrt,
119324,Freixenet Pinot Grigio D.O.C. Garda,"This Pinot Grigio is an elegant white wine from the pictures- que vineyards of the Garda region. It has a floral and delicate fruity character with subtle hints of crisp citrus. Enjoy it chi- lled for an aperitivo or pair with seafood, vegetarian dishes, fried fish or sushi.",9.95,,,Freixenet SA,,,,/owif/images/119324?size=300,,,"Skaldjur Kyckling, kalkon Pasta Asiatiskt Fiskrätter Aperitif, sällskapsvin Sushi Vegetariskt",Torrt,Pinot Grigio
119502,Freixenet Rosé,"Freixenet Rosé is a Spanish rosé made from Bobal grape with a fresh fruity character. Medium pale intensity color. Elegant aroma of strawberries, fresh fruit and orange blossom. Tasty palate, fruity character of summer fruits like cherries and citrus. The finish is pleasant and refreshing.",7.95,,,Freixenet SA,,,,/owif/images/119502?size=300,,,"Sallader, vegetariskt Fiskrätter Aperitif, sällskapsvin Vegetariskt",Torrt,Bobal
119503,Freixenet Sauvignon Blanc,Sauvignon Blanc is one of the most planted grape varieties in the world. And thanks to that has many different expressions. Freixenet Sauvignon Blanc is a very good example of a warm climate Sauvignon Blanc. Luscious character with intense varietal notes.,7.95,,,Freixenet SA,,,,/owif/images/119503?size=300,,,"Sallader, vegetariskt Fiskrätter Aperitif, sällskapsvin Vegetariskt",Torrt,Sauvignon Blanc
119660,Fresco di Masi Bianco,"Ljust gult i färgen. Frisk doft och smak av ananas, citrusfrukter  och honungspomelo. Fruktigt, blommigt och svalkande. ",11.5,,,Masi Agricola,,,,/owif/images/119660?size=300,,,"Fiskrätter Gris Aperitif, sällskapsvin",Torrt,Chardonnay Pinot Grigio Garganega
110089,Fresco di Masi Rosso,"Lätt, låga tanniner, hallonkaraktär, körsbärig, björnbärig, lätt blommighet, örtig. Bärigt och friskt.",11.5,,,Masi Agricola,,,,/owif/images/110089?size=300,,,"Sallader, vegetariskt Pasta Aperitif, sällskapsvin",Lätt,Merlot Corvina
